Player,No.,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional
Jamie Arniel,72,ca,C,21,5-11,183,R/-,R,November 16 1989,0 G 0 A 0 P,arnieja01
Matt Bartkowski,43,us,D,22,6-1,203,L/-,R,June 4 1988,0 G 0 A 0 P,bartkma01
Patrice Bergeron,37,ca,C,25,6-1,195,R/-,6,July 24 1985,22 G 35 A 57 P,bergepa01
Johnny Boychuk,55,ca,D,27,6-2,227,R/-,3,January 19 1984,3 G 13 A 16 P,boychjo01
Gregory Campbell,11,ca,C,27,6-0,188,L/-,6,December 17 1983,13 G 16 A 29 P,campbgr01
Jordan Caron,38,ca,RW,20,6-3,204,L/-,R,November 2 1990,3 G 4 A 7 P,caronjo01
Zdeno Chara (C),33,cs,D,33,6-9,250,L/-,12,March 18 1977,14 G 30 A 44 P,charazd01
Andrew Ference,21,ca,D,31,5-11,182,L/-,10,March 17 1979,3 G 12 A 15 P,ferenan01
Zach Hamill,52,ca,C,22,5-11,180,R/-,1,September 23 1988,0 G 1 A 1 P,hamilza01
Shane Hnidy,34,ca,D,35,6-2,210,R/-,9,November 8 1975,0 G 0 A 0 P,hnidysh01
Nathan Horton,18,ca,C,25,6-2,229,R/-,6,May 29 1985,26 G 27 A 53 P,hortona01
Matt Hunwick,48,us,D,25,5-11,200,L/-,3,May 21 1985,1 G 2 A 3 P,hunwima01
Tomas Kaberle,12,cs,D,32,6-1,212,L/-,11,March 2 1978,1 G 8 A 9 P,kaberto01
Steven Kampfer,47,us,D,22,5-11,198,R/-,R,September 24 1988,5 G 5 A 10 P,kampfst01
Chris Kelly,23,ca,C,30,6-0,190,L/-,6,November 11 1980,2 G 3 A 5 P,kellych01
David Krejci,46,cs,C,24,6-0,188,R/-,4,April 28 1986,13 G 49 A 62 P,krejcda01
Milan Lucic,17,ca,LW,22,6-3,231,L/-,3,June 7 1988,30 G 32 A 62 P,lucicmi01
Brad Marchand,63,ca,C,22,5-9,181,L/-,1,May 11 1988,21 G 20 A 41 P,marchbr03
Adam McQuaid,54,ca,D,24,6-4,210,R/-,1,October 12 1986,3 G 12 A 15 P,mcquaad01
Daniel Paille,20,ca,LW,26,6-1,200,L/-,5,April 15 1984,6 G 7 A 13 P,paillda01
Rich Peverley,49,ca,C,28,5-11,195,R/-,4,July 8 1982,4 G 3 A 7 P,peverri01
Tuukka Rask,40,fi,G,23,6-3,176,L/L,3,March 10 1987,11-14-2 2.67 GAA,rasktu01
Mark Recchi,28,ca,RW,42,5-10,195,L/-,21,February 1 1968,14 G 34 A 48 P,recchma01
Michael Ryder,73,ca,RW,30,6-1,200,R/-,6,March 31 1980,18 G 23 A 41 P,rydermi01
Marc Savard,91,ca,C,33,5-10,191,L/-,12,July 17 1977,2 G 8 A 10 P,savarma01
Tyler Seguin,19,ca,C,19,6-1,200,R/-,R,January 31 1992,11 G 11 A 22 P,seguity01
Dennis Seidenberg,44,de,D,29,6-0,199,L/-,7,July 18 1981,7 G 25 A 32 P,seidede01
Mark Stuart,45,us,D,26,6-2,215,L/-,5,April 27 1984,1 G 4 A 5 P,stuarma01
Tim Thomas,30,us,G,36,5-11,201,-/L,6,April 15 1974,35-11-9 2.00 GAA,thomati01
Shawn Thornton,22,ca,RW,33,6-2,217,R/-,7,July 23 1977,10 G 10 A 20 P,thornsh01
Blake Wheeler,26,us,RW,24,6-5,225,R/-,2,August 31 1986,11 G 16 A 27 P,wheelbl01
Alex Auld,35,ca,G,30,6-4,215,-/L,8,January 7 1981,6-2-2 2.64 GAA,auldal01
Dustin Boyd,17,ca,C,24,6-0,187,L/-,4,July 16 1986,1 G 0 A 1 P,boyddu01
Mike Cammalleri,13,ca,C,28,5-9,185,L/-,7,June 8 1982,19 G 28 A 47 P,cammami01
Mathieu Darche,52,ca,LW,34,6-1,215,L/-,7,November 26 1976,12 G 14 A 26 P,darchma01
Nigel Dawes,34,ca,LW,25,5-9,200,L/-,4,February 9 1985,0 G 0 A 0 P,dawesni01
David Desharnais,58,ca,C,24,5-7,180,L/-,1,September 14 1986,8 G 14 A 22 P,deshada01
Lars Eller,81,dk,C,21,6-2,208,L/-,1,May 8 1989,7 G 10 A 17 P,ellerla01
Andreas Engqvist,63,se,C,23,6-4,199,R/-,R,December 23 1987,0 G 0 A 0 P,engqvan01
Hal Gill,75,us,D,35,6-7,243,L/-,12,April 6 1975,2 G 7 A 9 P,gillha01
Brian Gionta (C),21,us,RW,32,5-7,178,R/-,8,January 18 1979,29 G 17 A 46 P,giontbr01
Scott Gomez,11,us,C,31,5-11,200,L/-,10,December 23 1979,7 G 31 A 38 P,gomezsc01
Josh Gorges,26,ca,D,26,6-1,204,L/-,5,August 14 1984,1 G 6 A 7 P,gorgejo01
Jeff Halpern,15,us,C,34,6-0,200,R/-,10,May 3 1976,11 G 15 A 26 P,halpeje01
Roman Hamrlik,44,cs,D,36,6-2,206,L/-,17,April 12 1974,5 G 29 A 34 P,hamrlro01
Andrei Kostitsyn,46,su,LW,25,6-0,214,L/-,5,February 3 1985,20 G 25 A 45 P,kostian01
